parking_id,name,num_stops_400m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_conservative
227,"Location (34.9871, -85.2876)",13,900,19,82,216,conservative,400,True,69.23076923076923,21.31,7.86,100,99.18,10.0,43.56,excellent,High Reliability,99
18,"Location (35.0379, -85.3148)",14,808,15,99,271,conservative,400,True,57.714285714285715,22.95,7.05,100,99.01,7.89,43.5,excellent,High Reliability,100
412,"Location (35.0613, -85.3093)",12,1056,20,155,232,conservative,400,True,88.0,19.67,9.22,100,98.45,10.53,43.5,excellent,High Reliability,101
420,"Location (35.0127, -85.2288)",11,1138,11,48,235,conservative,400,True,103.45454545454545,18.03,9.94,100,99.52,5.79,43.0,excellent,High Reliability,102
249,"Location (35.0405, -85.3140)",12,776,14,76,273,conservative,400,True,64.66666666666667,19.67,6.78,100,99.24,7.37,42.57,excellent,High Reliability,103
247,"Location (35.0487, -85.2783)",10,431,46,85,161,conservative,400,True,43.1,16.39,3.76,100,99.15,24.21,42.52,excellent,High Reliability,104
395,"Location (35.0428, -85.2917)",9,1204,12,79,246,conservative,400,True,133.77777777777777,14.75,10.51,100,99.21,6.32,42.36,excellent,High Reliability,105
259,"Location (35.0257, -85.2775)",12,720,12,76,211,conservative,400,True,60.0,19.67,6.29,100,99.24,6.32,42.32,excellent,High Reliability,106
245,"Location (35.0194, -85.2396)",10,1035,10,51,211,conservative,400,True,103.5,16.39,9.04,100,99.49,5.26,42.26,excellent,High Reliability,107
261,"Location (35.0224, -85.2433)",10,1035,10,57,206,conservative,400,True,103.5,16.39,9.04,100,99.43,5.26,42.25,excellent,High Reliability,108
445,"Location (35.0103, -85.2197)",10,1035,10,61,195,conservative,400,True,103.5,16.39,9.04,100,99.39,5.26,42.24,excellent,High Reliability,109
315,"Location (35.0109, -85.2239)",10,1034,10,95,197,conservative,400,True,103.4,16.39,9.03,100,99.05,5.26,42.19,excellent,High Reliability,110
158,"Location (35.0185, -85.2388)",10,1035,10,96,219,conservative,400,True,103.5,16.39,9.04,100,99.04,5.26,42.19,excellent,High Reliability,111
394,"Location (35.0102, -85.2146)",10,1035,10,121,256,conservative,400,True,103.5,16.39,9.04,100,98.79,5.26,42.15,excellent,High Reliability,112
106,"Location (35.0463, -85.3161)",9,1216,10,200,325,conservative,400,True,135.11111111111111,14.75,10.62,100,98.0,5.26,42.1,excellent,High Reliability,113
59,"Location (35.0243, -85.2452)",10,990,10,77,225,conservative,400,True,99.0,16.39,8.64,100,99.23,5.26,42.1,excellent,High Reliability,114
271,"Location (35.0494, -85.2763)",10,371,40,58,162,conservative,400,True,37.1,16.39,3.24,100,99.42,21.05,42.09,excellent,High Reliability,115
263,"Location (35.0499, -85.2870)",5,1248,42,343,372,conservative,400,True,249.6,8.2,10.9,100,96.57,22.11,42.01,excellent,High Reliability,116
349,"Location (35.1020, -85.2747)",11,660,11,30,190,conservative,400,True,60.0,18.03,5.76,100,99.7,5.79,41.77,excellent,High Reliability,117
253,"Location (35.0448, -85.3203)",11,650,11,44,218,conservative,400,True,59.09090909090909,18.03,5.68,100,99.56,5.79,41.72,excellent,High Reliability,118
401,"Location (35.1014, -85.2741)",11,660,11,105,232,conservative,400,True,60.0,18.03,5.76,100,98.95,5.79,41.66,excellent,High Reliability,119
260,"Location (35.0441, -85.2600)",13,379,13,251,331,conservative,400,True,29.153846153846153,21.31,3.31,100,97.49,6.84,41.63,excellent,High Reliability,120
301,"Location (35.0632, -85.3124)",11,625,13,172,293,conservative,400,True,56.81818181818182,18.03,5.46,100,98.28,6.84,41.57,excellent,High Reliability,121
54,"Location (35.0093, -85.2136)",9,931,9,55,247,conservative,400,True,103.44444444444444,14.75,8.13,100,99.45,4.74,41.52,excellent,High Reliability,122
378,"Location (35.0167, -85.2357)",9,932,9,72,210,conservative,400,True,103.55555555555556,14.75,8.14,100,99.28,4.74,41.5,excellent,High Reliability,123
103,"Location (35.0575, -85.2541)",12,399,12,67,226,conservative,400,True,33.25,19.67,3.48,100,99.33,6.32,41.49,excellent,High Reliability,124
173,"Location (35.0098, -85.2182)",9,931,9,76,207,conservative,400,True,103.44444444444444,14.75,8.13,100,99.24,4.74,41.49,excellent,High Reliability,125
414,"Location (35.0455, -85.1624)",9,930,9,88,242,conservative,400,True,103.33333333333333,14.75,8.12,100,99.12,4.74,41.47,excellent,High Reliability,126
135,"Location (35.0147, -85.3261)",10,718,12,106,228,conservative,400,True,71.8,16.39,6.27,100,98.94,6.32,41.45,excellent,High Reliability,127
131,"Location (35.0588, -85.2533)",12,371,12,102,245,conservative,400,True,30.916666666666668,19.67,3.24,100,98.98,6.32,41.37,excellent,High Reliability,128
455,"Location (35.0630, -85.3031)",9,810,14,189,287,conservative,400,True,90.0,14.75,7.07,100,98.11,7.37,41.26,excellent,High Reliability,129
270,"Location (35.0349, -85.3148)",11,539,11,165,246,conservative,400,True,49.0,18.03,4.71,100,98.35,5.79,41.25,excellent,High Reliability,130
220,"Location (35.0394, -85.2659)",12,276,14,104,265,conservative,400,True,23.0,19.67,2.41,100,98.96,7.37,41.22,excellent,High Reliability,131
439,"Location (35.0686, -85.2890)",10,600,10,44,217,conservative,400,True,60.0,16.39,5.24,100,99.56,5.26,41.13,excellent,High Reliability,132
176,"Location (35.0433, -85.2582)",11,418,11,72,237,conservative,400,True,38.0,18.03,3.65,100,99.28,5.79,41.07,excellent,High Reliability,133
