parking_id,name,num_stops_800m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_moderate
86,"Location (35.1268, -85.2384)",5,314,5,306,660,moderate,800,True,62.8,3.14,1.31,100,96.94,1.05,35.82,excellent,High Reliability,243
201,"Location (35.0287, -85.2010)",6,620,6,706,739,moderate,800,True,103.33333333333333,3.77,2.58,100,92.94,1.26,35.78,excellent,High Reliability,244
57,"Location (35.1355, -85.2454)",5,300,5,346,548,moderate,800,True,60.0,3.14,1.25,100,96.54,1.05,35.75,excellent,High Reliability,245
70,"Location (35.1287, -85.2380)",4,300,4,248,581,moderate,800,True,75.0,2.52,1.25,100,97.52,0.84,35.71,excellent,High Reliability,246
359,"Location (35.0308, -85.1743)",5,517,5,568,642,moderate,800,True,103.4,3.14,2.15,100,94.32,1.05,35.68,excellent,High Reliability,247
195,"Location (35.1310, -85.2387)",4,300,4,289,524,moderate,800,True,75.0,2.52,1.25,100,97.11,0.84,35.65,excellent,High Reliability,248
196,"Location (35.1336, -85.2397)",3,240,3,145,457,moderate,800,True,80.0,1.89,1.0,100,98.55,0.63,35.62,excellent,High Reliability,249
161,Cell Waiting Lot,5,517,5,608,684,moderate,800,True,103.4,3.14,2.15,100,93.92,1.05,35.62,excellent,High Reliability,250
98,"Location (35.1246, -85.2392)",5,314,5,487,707,moderate,800,True,62.8,3.14,1.31,100,95.13,1.05,35.55,excellent,High Reliability,251
99,"Location (35.0387, -85.1471)",4,414,4,499,693,moderate,800,True,103.5,2.52,1.72,100,95.01,0.84,35.48,excellent,High Reliability,252
187,"Location (35.1345, -85.2393)",3,240,3,244,508,moderate,800,True,80.0,1.89,1.0,100,97.56,0.63,35.47,excellent,High Reliability,253
274,"Location (35.0404, -85.1490)",4,414,4,513,616,moderate,800,True,103.5,2.52,1.72,100,94.87,0.84,35.46,excellent,High Reliability,254
16,"Location (35.1371, -85.2424)",3,180,3,234,388,moderate,800,True,60.0,1.89,0.75,100,97.66,0.63,35.41,excellent,High Reliability,255
90,Highland Plaza,2,120,2,170,285,moderate,800,True,60.0,1.26,0.5,100,98.3,0.42,35.25,excellent,Moderate Reliability,256
13,"Location (35.1397, -85.2457)",2,120,2,174,179,moderate,800,True,60.0,1.26,0.5,100,98.26,0.42,35.24,excellent,Moderate Reliability,257
49,"Location (35.1323, -85.2382)",2,180,2,258,352,moderate,800,True,90.0,1.26,0.75,100,97.42,0.42,35.19,excellent,Moderate Reliability,258
93,"Location (35.0978, -85.2685)",5,300,5,751,765,moderate,800,True,60.0,3.14,1.25,100,92.49,1.05,35.14,excellent,High Reliability,259
47,"Location (35.1304, -85.2379)",2,180,2,310,350,moderate,800,True,90.0,1.26,0.75,100,96.9,0.42,35.12,excellent,Moderate Reliability,260
123,"Location (35.0117, -85.2427)",4,414,4,758,767,moderate,800,True,103.5,2.52,1.72,100,92.42,0.84,35.09,excellent,High Reliability,261
166,"Location (35.1325, -85.2367)",2,180,2,395,472,moderate,800,True,90.0,1.26,0.75,100,96.05,0.42,34.99,excellent,Moderate Reliability,262
138,"Location (35.0630, -85.3218)",4,196,4,668,720,moderate,800,True,49.0,2.52,0.81,100,93.32,0.84,34.95,excellent,High Reliability,263
148,"Location (35.1304, -85.2352)",2,180,2,526,556,moderate,800,True,90.0,1.26,0.75,100,94.74,0.42,34.79,excellent,Moderate Reliability,264
32,"Location (35.1319, -85.2351)",2,180,2,546,580,moderate,800,True,90.0,1.26,0.75,100,94.54,0.42,34.76,excellent,Moderate Reliability,265
233,"Location (35.1246, -85.2368)",1,120,1,588,588,moderate,800,True,120.0,0.63,0.5,100,94.12,0.21,34.45,excellent,Low Reliability,266
